gid,landarea_lbl,landarea_val,경도,위도
占썬끉沅?6ab52ab,,,126.779525,37.568546
占썬끉沅?6ab52ba,,,126.779503,37.570800
占썬끉沅?6ba49bb,,,126.782572,37.546032
占썬끉沅?6ba50aa,,,126.782550,37.548285
占썬끉沅?6ba50ab,,,126.782529,37.550538
占썬끉沅?6ba50ba,,,126.782507,37.552791
占썬끉沅?6ba50bb,,,126.782486,37.555044
占썬끉沅?6ba51aa,,,126.782464,37.557298
占썬끉沅?6ba51ab,,,126.782442,37.559551
占썬끉沅?6ba51ba,,,126.782421,37.561804
占썬끉沅?6ba51bb,,,126.782399,37.564057
占썬끉沅?6ba52aa,,,126.782378,37.566310
占썬끉沅?6ba52ab,,,126.782356,37.568564
占썬끉沅?6ba52ba,,,126.782334,37.570817
占썬끉沅?6ba52bb,,,126.782313,37.573070
占썬끉沅?6bb49bb,,,126.785402,37.546049
占썬끉沅?6bb50aa,,,126.785380,37.548302
占썬끉沅?6bb50ab,246.00,246.0000000000000000000000000000000,126.785359,37.550555
占썬끉沅?6bb50ba,,,126.785337,37.552808
占썬끉沅?6bb50bb,,,126.785316,37.555062
占썬끉沅?6bb51aa,,,126.785294,37.557315
占썬끉沅?6bb51ab,,,126.785273,37.559568
占썬끉沅?6bb51ba,,,126.785251,37.561821
占썬끉沅?6bb51bb,,,126.785230,37.564074
占썬끉沅?6bb52aa,,,126.785208,37.566328
占썬끉沅?6bb52ab,,,126.785187,37.568581
占썬끉沅?6bb52ba,,,126.785165,37.570834
占썬끉沅?6bb52bb,,,126.785144,37.573087
占썬끉沅?6bb53aa,,,126.785122,37.575340
占썬끉沅?7aa49ba,,,126.788253,37.543813
占썬끉沅?7aa49bb,1144.00,1144.0000000000000000000000000000000,126.788232,37.546066
占썬끉沅?7aa50aa,,,126.788210,37.548319
占썬끉沅?7aa50ab,,,126.788189,37.550572
占썬끉沅?7aa50ba,,,126.788167,37.552825
占썬끉沅?7aa50bb,,,126.788146,37.555079
占썬끉沅?7aa51aa,,,126.788125,37.557332
占썬끉沅?7aa51ab,,,126.788103,37.559585
占썬끉沅?7aa51ba,,,126.788082,37.561838
占썬끉沅?7aa51bb,,,126.788060,37.564092
占썬끉沅?7aa52aa,,,126.788039,37.566345
